interaction_id,target,target_id,target_gene_symbol,target_uniprot,target_ensembl_gene_id,target_ligand,target_ligand_id,target_ligand_gene_symbol,target_ligand_ensembl_gene_id,target_ligand_uniprot,target_ligand_pubchem_sid,target_species,ligand,ligand_id,ligand_gene_symbol,ligand_species,ligand_pubchem_sid,type,action,action_comment,selectivity,endogenous,primary_target,concentration_range,affinity_units,affinity_high,affinity_median,affinity_low,original_affinity_units,original_affinity_low_nm,original_affinity_median_nm,original_affinity_high_nm,original_affinity_relation,assay_description,receptor_site,ligand_context,pubmed_id
50,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LY344864,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9395253
51,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,Lysergide,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,12213075
52,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,nafadotride,,,,,Agonist,Full agonist,,,f,,,pKi,,,,-,,,,=,,,,9760039
53,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,naratriptan,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9205951|10193663
54,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,NLX-101,,,,,Agonist,Full agonist,,Selective,f,,,pKi,,,,-,,,,=,,,,19154445
55,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,ocaperidone,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9065439
56,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,olanzapine,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039|8935801
57,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,quetiapine,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039|8935801
58,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,quinpirole,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10431754
59,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,rizatriptan,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10193663
60,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,RU 24969,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039
61,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,S-14506,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039|9550290
62,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,S-14671,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039|9550290
63,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,spiroxatrine,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039
64,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,sumatriptan,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10193663
65,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,[3H]8-OH-DPAT,,,,,Agonist,Full agonist,,Not Determined,f,,,pKd,,,,Kd,,,,=,,,,10431754|9550290|15628665|11101361
66,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,[3H]NLX-112,,,,,Agonist,Full agonist,,Not Determined,f,,,pKd,,,,Kd,,,,=,,,,20799027
67,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,tandospirone,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039
68,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,U92016A,,,,,Agonist,Full agonist,,,f,,,pKi,,,,-,,,,=,,,,7965808
69,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,xanomeline,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9884068
70,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,zalospirone,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039
71,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,zolmitriptan,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10193663
72,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,apomorphine,,,,,Agonist,Partial agonist,,,f,,,pKi,,,,-,,,,=,,,,12388666
73,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,aripiprazole,,,,,Agonist,Partial agonist,,Not Determined,f,f,,pKi,,,,-,,,,=,,,,12784105
74,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,BMY-7378,,,,,Agonist,Partial agonist,,,f,,,pIC50,,,,,,,,,,,,9048968
75,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,BRL-15572,,,,,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,9303567
76,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,bromocriptine,,,,,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,12388666
77,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,buspirone,,,,,Agonist,Partial agonist,,Not Determined,f,t,,pKi,,,,-,,,,=,,,,1386736|9760039|9550290
78,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,capeserod,,,,,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,12130738
79,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,fluparoxan,,,,,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,10611634
80,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,GR 127935,,,,,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,9397179|9303567
81,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,ipsapirone,,,,,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,9760039|9550290
82,5-HT1A receptor,,Htr1a,P19327,ENSRNOG00000010254,,,,,,,Rat,lurasidone,,,,,Agonist,Partial agonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,20404009
83,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,pergolide,,,,,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,12388666
84,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,piribedil,,,,,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,12388666
85,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,roxindole,,,,,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,10431754|12388666
86,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(R)-UH 301,,,,,Agonist,Partial agonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9760039
87,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,S-15535,,,,,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,9550290
88,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,S 16924,,,,,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,9732398
89,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,SB 216641,,,,,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,9303567
90,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,[3H]S-15535,,,,,Agonist,Partial agonist,,,f,,,pKd,,,,,,,,,,,,9550290
91,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,terguride,,,,,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,12388666
92,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,vilazodone,,,,,Agonist,Partial agonist,,Not Determined,f,t,,pIC50,,,,IC50,,,,=,,,,15341484
93,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,vilazodone,,,,,Agonist,Partial agonist,,Not Determined,f,t,,pKi,,,,Ki,,,,=,Binding of vilazodone to human 5-HT1A receptors against [3H]8-OH-DPAT (DPAT),,,19499624
94,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,vortioxetine,,,,,Agonist,Partial agonist,,Non-selective,f,t,,pKi,,,,Ki,,,,=,,,,21486038
95,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,ziprasidone,,,,,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,9760039|8935801
96,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,RS-30199,,,,,Allosteric modulator,Positive,,Not Determined,f,f,,pKi,,,,-,,,,=,,,,9707291
97,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,9-OH-risperidone,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,8935801
98,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(+)-butaclamol,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039
99,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,chlorpromazine,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039
100,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,cyamemazine,,,,,Antagonist,Antagonist,,Not Determined,f,,,pKi,,,,-,,,,=,,,,12527336
101,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,fluspirilene,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,8935801
102,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,"GR 125,743",,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9205951
103,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,"GR 218,231",,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,10869410
104,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,haloperidol,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039|9067310|8935801|9732398
105,5-HT1A receptor,,Htr1a,P19327,ENSRNOG00000010254,,,,,,,Rat,iloperidone,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,8997630
106,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,iloperidone,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,11750183
107,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,p-MPPI,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,15628665
108,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(R)-flurocarazolol,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,11512051
109,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(S)-flurocarazolol,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,11512051
110,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,ketanserin,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,1386736
111,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,mesoridazine,,,,,Antagonist,Antagonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,15357957
112,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,methiothepin,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039|9550290
113,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,MPDT,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,10715164
114,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,NAN 190,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039
115,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,pimozide,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039
116,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,pindolol,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9550290
117,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,pipamperone,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,8935801
118,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,pizotifen,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9205951
119,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(-)-propranolol,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9205951
120,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,p-[18F]MPPF,,,,,Antagonist,Antagonist,,Not Determined,f,f,,-,,,,-,,,,=,,,,16330560
121,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,raclopride,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039
122,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,Rec 15/3079,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,11714892
123,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,repinotan,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9495870
124,5-HT1A receptor,,Htr1a,P19327,ENSRNOG00000010254,,,,,,,Rat,risperidone,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,8997630
125,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,risperidone,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039|8935801
126,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,ritanserin,,,,,Antagonist,Antagonist,,,f,,,pIC50,,,,,,,,,,,,9048968
127,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,robalzotan,,,,,Antagonist,Antagonist,,Selective,f,f,,pKi,,,,Ki,,,,=,,,,9336327
128,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,SB 272183,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,11454652
129,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,SB 649915,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,15887956
130,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,SB 714786,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,15887956
131,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,SDZ-216525,,,,,Antagonist,Antagonist,,,f,,,pIC50,,,,,,,,,,,,9048968
132,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,sertindole,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039|8935801
133,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,spiperone,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,1386736|9760039|9550290
134,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(S)-UH 301,,,,,Antagonist,Antagonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9760039
135,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,[11C]WAY100635,,,,,Antagonist,Antagonist,,Not Determined,f,f,,-,,,,-,,,,=,,,,15689356
136,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,[3H]p-MPPF,,,,,Antagonist,Antagonist,,,f,,,pKd,,,,-,,,,=,,,,15628665
137,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,[3H]robalzotan,,,,,Antagonist,Antagonist,,Not Determined,f,,,pKd,,,,Kd,,,,=,,,,9851589
138,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,[3H]WAY100635,,,,,Antagonist,Antagonist,,Not Determined,f,,,pKd,,,,Kd,,,,=,,,,9048968
139,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(-)-tertatolol,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039|9067310
