ligand;target;endogenous;ligand_species;target_species;pubmed_id;action
RS-30199;5-HT1A receptor;f;;Human;9707291;Positive
9-OH-risperidone;5-HT1A receptor;f;;Human;8935801;Antagonist
(+)-butaclamol;5-HT1A receptor;f;;Human;9760039;Antagonist
chlorpromazine;5-HT1A receptor;f;;Human;9760039;Antagonist
cyamemazine;5-HT1A receptor;f;;Human;12527336;Antagonist
fluspirilene;5-HT1A receptor;f;;Human;8935801;Antagonist
GR 125,743;5-HT1A receptor;f;;Human;9205951;Antagonist
GR 218,231;5-HT1A receptor;f;;Human;10869410;Antagonist
haloperidol;5-HT1A receptor;f;;Human;9760039|9067310|8935801|9732398;Antagonist
iloperidone;5-HT1A receptor;f;;Human;11750183;Antagonist
iloperidone;5-HT1A receptor;f;;Rat;8997630;Antagonist
p-MPPI;5-HT1A receptor;f;;Human;15628665;Antagonist
(R)-flurocarazolol;5-HT1A receptor;f;;Human;11512051;Antagonist
(S)-flurocarazolol;5-HT1A receptor;f;;Human;11512051;Antagonist
ketanserin;5-HT1A receptor;f;;Human;1386736;Antagonist
mesoridazine;5-HT1A receptor;f;;Human;15357957;Antagonist
methiothepin;5-HT1A receptor;f;;Human;9760039|9550290;Antagonist
MPDT;5-HT1A receptor;f;;Human;10715164;Antagonist
NAN 190;5-HT1A receptor;f;;Human;9760039;Antagonist
pimozide;5-HT1A receptor;f;;Human;9760039;Antagonist
pindolol;5-HT1A receptor;f;;Human;9550290;Antagonist
pipamperone;5-HT1A receptor;f;;Human;8935801;Antagonist
pizotifen;5-HT1A receptor;f;;Human;9205951;Antagonist
(-)-propranolol;5-HT1A receptor;f;;Human;9205951;Antagonist
p-[18F]MPPF;5-HT1A receptor;f;;Human;16330560;Antagonist
raclopride;5-HT1A receptor;f;;Human;9760039;Antagonist
Rec 15/3079;5-HT1A receptor;f;;Human;11714892;Antagonist
repinotan;5-HT1A receptor;f;;Human;9495870;Antagonist
risperidone;5-HT1A receptor;f;;Rat;8997630;Antagonist
risperidone;5-HT1A receptor;f;;Human;9760039|8935801;Antagonist
ritanserin;5-HT1A receptor;f;;Human;9048968;Antagonist
robalzotan;5-HT1A receptor;f;;Human;9336327;Antagonist
SB 272183;5-HT1A receptor;f;;Human;11454652;Antagonist
SB 649915;5-HT1A receptor;f;;Human;15887956;Antagonist
SB 714786;5-HT1A receptor;f;;Human;15887956;Antagonist
SDZ-216525;5-HT1A receptor;f;;Human;9048968;Antagonist
sertindole;5-HT1A receptor;f;;Human;9760039|8935801;Antagonist
spiperone;5-HT1A receptor;f;;Human;1386736|9760039|9550290;Antagonist
(S)-UH 301;5-HT1A receptor;f;;Human;9760039;Antagonist
[11C]WAY100635;5-HT1A receptor;f;;Human;15689356;Antagonist
[3H]p-MPPF;5-HT1A receptor;f;;Human;15628665;Antagonist
[3H]robalzotan;5-HT1A receptor;f;;Human;9851589;Antagonist
[3H]WAY100635;5-HT1A receptor;f;;Human;9048968;Antagonist
(-)-tertatolol;5-HT1A receptor;f;;Human;9760039|9067310;Antagonist
thioridazine;5-HT1A receptor;f;;Human;9760039;Antagonist
tiospirone;5-HT1A receptor;f;;Human;9760039;Antagonist
WAY-100135;5-HT1A receptor;f;;Human;9550290;Antagonist
WAY-100635;5-HT1A receptor;f;;Human;9760039|9550290;Antagonist
yohimbine;5-HT1A receptor;f;;Human;10611634;Antagonist
zotepine;5-HT1A receptor;f;;Human;8935801;Antagonist
almotriptan;5-HT1B receptor;f;;Human;11134654;Agonist
avitriptan;5-HT1B receptor;f;;Human;9050026;Agonist
avitriptan;5-HT1B receptor;f;;Rat;9050026;Agonist
frovatriptan;5-HT1B receptor;f;;Human;9986723;Agonist
[125I]GTI;5-HT1B receptor;f;;Rat;1738002|8361548;Agonist
1-naphthylpiperazine;5-HT1B receptor;f;;Human;9397179|1565658|8863519;Full agonist
2-methyl-5-HT;5-HT1B receptor;f;;Human;1565658;Full agonist
5-CT;5-HT1B receptor;f;;Mouse;1557407;Full agonist
5-CT;5-HT1B receptor;f;;Human;1565658|8863519;Full agonist
5-hydroxytryptamine;5-HT1B receptor;t;;Human;1565658|8863519;Full agonist
5-hydroxytryptamine;5-HT1B receptor;t;;Mouse;1557407;Full agonist
5-hydroxytryptamine;5-HT1B receptor;t;;Human;10431754|1565658|9208142|9776361|11040052|8957260;Full agonist
5-MeOT;5-HT1B receptor;f;;Human;1565658|8863519;Full agonist
5-(nonyloxy)-tryptamine;5-HT1B receptor;f;;Human;10513577;Full agonist
7-methoxy-1-naphthylpiperazine;5-HT1B receptor;f;;Human;9397179;Full agonist
8-OH-DPAT;5-HT1B receptor;f;;Human;9303569;Full agonist
alniditan;5-HT1B receptor;f;;Human;8967979;Full agonist
aripiprazole;5-HT1B receptor;f;;Human;12784105;Full agonist
asenapine;5-HT1B receptor;f;;Human;8935801;Full agonist
cabergoline;5-HT1B receptor;f;;Human;12388666;Full agonist
CGS-12066;5-HT1B receptor;f;;Human;1565658|10513577;Full agonist
clozapine;5-HT1B receptor;f;;Human;8935801;Full agonist
CP-122288;5-HT1B receptor;f;;Human;9303569;Full agonist
CP94253;5-HT1B receptor;f;;Human;;Full agonist
dihydroergotamine;5-HT1B receptor;f;;Human;8863519|8967979;Full agonist
dipropyl-5-CT;5-HT1B receptor;f;;Human;1565658;Full agonist
donitriptan;5-HT1B receptor;f;;Human;10381763;Full agonist
eletriptan;5-HT1B receptor;f;;Human;10193663;Full agonist
L-694,247;5-HT1B receptor;f;;Human;10513577;Full agonist
L-772,405;5-HT1B receptor;f;;Human;10585208;Full agonist
LY344864;5-HT1B receptor;f;;Human;9395253;Full agonist
lysergol;5-HT1B receptor;f;;Human;1565658|8863519;Full agonist
olanzapine;5-HT1B receptor;f;;Human;8935801;Full agonist
oxymetazoline;5-HT1B receptor;f;;Human;9632357;Full agonist
pergolide;5-HT1B receptor;f;;Human;12388666;Full agonist
RU 24969;5-HT1B receptor;f;;Human;1557407;Full agonist
[3H]8-OH-DPAT;5-HT1B receptor;f;;Human;10431754;Full agonist
[3H]alniditan;5-HT1B receptor;f;;Human;9605573;Full agonist
TFMPP;5-HT1B receptor;f;;Human;1565658|8863519;Full agonist
tryptamine;5-HT1B receptor;t;;Human;1565658;Full agonist
xanomeline;5-HT1B receptor;f;;Human;9884068;Full agonist
ziprasidone;5-HT1B receptor;f;;Human;8935801;Full agonist
BMS 181,101;5-HT1B receptor;f;;Human;11040052;Partial agonist
BRL-15572;5-HT1B receptor;f;;Human;9303567;Partial agonist
bromocriptine;5-HT1B receptor;f;;Human;12388666;Partial agonist
capeserod;5-HT1B receptor;f;;Human;12130738;Partial agonist
donitriptan;5-HT1B receptor;f;;Rat;10381763;Partial agonist
GR 127935;5-HT1B receptor;f;;Human;9397179|9303567|9776361|8957260|9548813;Partial agonist
L-775,606;5-HT1B receptor;f;;Human;11040052;Partial agonist
lisuride;5-HT1B receptor;f;;Human;12388666;Partial agonist
naratriptan;5-HT1B receptor;f;;Human;10193663;Partial agonist
rizatriptan;5-HT1B receptor;f;;Human;10193663;Partial agonist
roxindole;5-HT1B receptor;f;;Human;10431754|12388666;Partial agonist
SB 216641;5-HT1B receptor;f;;Human;9303567;Partial agonist
sumatriptan;5-HT1B receptor;f;;Human;10611634|10193663|1565658|8863519|10513577|11040052|8967979;Partial agonist
[11C]AZ10419369;5-HT1B receptor;f;;Human;20424633;Partial agonist
[3H]eletriptan;5-HT1B receptor;f;;Human;10193663;Partial agonist
[3H]N-methyl-AZ10419369;5-HT1B receptor;f;;Human;19401496;Partial agonist
[3H]sumatriptan;5-HT1B receptor;f;;Human;10193663;Partial agonist
terguride;5-HT1B receptor;f;;Human;12388666;Partial agonist
vortioxetine;5-HT1B receptor;f;;Human;21486038;Partial agonist
zolmitriptan;5-HT1B receptor;f;;Human;10193663;Partial agonist
5-HT-moduline;5-HT1B receptor;t;;Human;9774213;Negative
5-OH-DPAT;5-HT1B receptor;f;;Mouse;1557407;Antagonist
9-OH-risperidone;5-HT1B receptor;f;;Human;8935801;Antagonist
cyanopindolol;5-HT1B receptor;f;;Mouse;1557407;Antagonist
GR 127935;5-HT1B receptor;f;;Human;10513577;Antagonist
GR-55562;5-HT1B receptor;f;;Human;10513577;Antagonist
GR-55562;5-HT1B receptor;f;;Human;11888546;Antagonist
(R)-flurocarazolol;5-HT1B receptor;f;;Human;11512051;Antagonist
(S)-flurocarazolol;5-HT1B receptor;f;;Human;11512051;Antagonist
ketanserin;5-HT1B receptor;f;;Mouse;1557407;Antagonist
ketanserin;5-HT1B receptor;f;;Human;9303569|9605573;Antagonist
metergoline;5-HT1B receptor;f;;Human;8863519;Antagonist
methysergide;5-HT1B receptor;f;;Human;1565658|8863519;Antagonist
mianserin;5-HT1B receptor;f;;Mouse;1557407;Antagonist
ocaperidone;5-HT1B receptor;f;;Human;9605573;Antagonist
(-)-pindolol;5-HT1B receptor;f;;Mouse;1557407;Antagonist
pipamperone;5-HT1B receptor;f;;Human;8935801;Antagonist
rauwolscine;5-HT1B receptor;f;;Human;1565658|8863519;Antagonist
risperidone;5-HT1B receptor;f;;Human;8935801|9605573|18308814;Antagonist
ritanserin;5-HT1B receptor;f;;Human;9303569|9605573;Antagonist
S33084;5-HT1B receptor;f;;Human;10869410;Antagonist
SB 272183;5-HT1B receptor;f;;Human;11454652;Antagonist
SB 649915;5-HT1B receptor;f;;Human;15887956;Antagonist
SB 714786;5-HT1B receptor;f;;Human;15887956;Antagonist
sertindole;5-HT1B receptor;f;;Human;8935801;Antagonist
spiperone;5-HT1B receptor;f;;Mouse;1557407;Antagonist
[3H]GR 125,743;5-HT1B receptor;f;;Human;10513577|10452531;Antagonist
(+)-WAY 100135;5-HT1B receptor;f;;Human;9208142;Antagonist
yohimbine;5-HT1B receptor;f;;Mouse;1557407;Antagonist
yohimbine;5-HT1B receptor;f;;Human;10611634|1565658;Antagonist
zotepine;5-HT1B receptor;f;;Human;8935801;Antagonist
methiothepin;5-HT1B receptor;f;;Human;8863519|10513577|11040052|8957260;Inverse agonist
SB 224289;5-HT1B receptor;f;;Human;9776361|11040052|9548813;Inverse agonist
SB236057;5-HT1B receptor;f;;Human;10443589;Inverse agonist
almotriptan;5-HT1D receptor;f;;Human;11134654;Agonist
avitriptan;5-HT1D receptor;f;;Human;9050026;Agonist
ergotamine;5-HT1D receptor;f;;Human;10715164;Agonist
frovatriptan;5-HT1D receptor;f;;Human;9986723;Agonist
L-694,247;5-HT1D receptor;f;;Human;9855638;Agonist
PNU109291;5-HT1D receptor;f;;Gorilla;9632349;Agonist
[125I]GTI;5-HT1D receptor;f;;Rat;1738002|8361548;Agonist
[3H]5-CT;5-HT1D receptor;f;;Human;10452531;Agonist
1-naphthylpiperazine;5-HT1D receptor;f;;Human;9397179|1565658;Full agonist
2-methyl-5-HT;5-HT1D receptor;f;;Human;1565658|8967979;Full agonist
5-CT;5-HT1D receptor;f;;Human;1565658|8967979|1652050;Full agonist
5-hydroxytryptamine;5-HT1D receptor;t;;Human;10431754|1565658|9208142|9776361|8957260|8967979|1652050;Full agonist
5-MeOT;5-HT1D receptor;f;;Human;1565658|8967979|1652050;Full agonist
7-methoxy-1-naphthylpiperazine;5-HT1D receptor;f;;Human;9397179;Full agonist
8-OH-DPAT;5-HT1D receptor;f;;Human;10193663|9303569|8967979;Full agonist
alniditan;5-HT1D receptor;f;;Human;9605573|8967979;Full agonist
α-methyl-5-HT;5-HT1D receptor;f;;Human;8967979;Full agonist
aripiprazole;5-HT1D receptor;f;;Human;12784105;Full agonist
asenapine;5-HT1D receptor;f;;Human;8935801;Full agonist
CGS-12066;5-HT1D receptor;f;;Human;1565658|1652050;Full agonist
clozapine;5-HT1D receptor;f;;Human;8935801;Full agonist
CP-122288;5-HT1D receptor;f;;Human;9303569;Full agonist
dihydroergotamine;5-HT1D receptor;f;;Human;9605573|8967979|1652050;Full agonist
dimethyltryptamine;5-HT1D receptor;f;;Human;8967979;Full agonist
dipropyl-5-CT;5-HT1D receptor;f;;Human;1565658;Full agonist
donitriptan;5-HT1D receptor;f;;Rat;10381763;Full agonist
donitriptan;5-HT1D receptor;f;;Human;10381763;Full agonist
eletriptan;5-HT1D receptor;f;;Human;10193663;Full agonist
EMDT;5-HT1D receptor;f;;Human;10715164;Full agonist
LY344864;5-HT1D receptor;f;;Human;9395253;Full agonist
lysergic acid;5-HT1D receptor;f;;Human;8967979;Full agonist
lysergol;5-HT1D receptor;f;;Human;1565658;Full agonist
naratriptan;5-HT1D receptor;f;;Human;10193663|9303569|7780656;Full agonist
olanzapine;5-HT1D receptor;f;;Human;8935801;Full agonist
quetiapine;5-HT1D receptor;f;;Human;8935801;Full agonist
rizatriptan;5-HT1D receptor;f;;Human;10193663;Full agonist
RU 24969;5-HT1D receptor;f;;Human;1652050;Full agonist
sumatriptan;5-HT1D receptor;f;;Human;10611634|10193663|1565658|8967979|1652050;Full agonist
[3H]5-HT;5-HT1D receptor;f;;Human;1565658|9776361|9605573;Full agonist
[3H]8-OH-DPAT;5-HT1D receptor;f;;Human;10431754;Full agonist
[3H]alniditan;5-HT1D receptor;f;;Human;9605573;Full agonist
[3H]eletriptan;5-HT1D receptor;f;;Human;10193663;Full agonist
[3H]sumatriptan;5-HT1D receptor;f;;Human;10193663;Full agonist
TFMPP;5-HT1D receptor;f;;Human;1565658|1652050;Full agonist
tryptamine;5-HT1D receptor;f;;Human;1565658|8967979;Full agonist
xanomeline;5-HT1D receptor;f;;Human;9884068;Full agonist
ziprasidone;5-HT1D receptor;f;;Human;8935801;Full agonist
zolmitriptan;5-HT1D receptor;f;;Human;10193663;Full agonist
BRL-15572;5-HT1D receptor;f;;Human;9303567;Partial agonist
bromocriptine;5-HT1D receptor;f;;Human;12388666;Partial agonist
cabergoline;5-HT1D receptor;f;;Human;12388666;Partial agonist
capeserod;5-HT1D receptor;f;;Human;12130738;Partial agonist
GR 127935;5-HT1D receptor;f;;Human;9397179|9303567|9776361|8957260|9548813;Partial agonist
lisuride;5-HT1D receptor;f;;Human;12388666;Partial agonist
oxymetazoline;5-HT1D receptor;f;;Human;9632357;Partial agonist
pergolide;5-HT1D receptor;f;;Human;12388666;Partial agonist
roxindole;5-HT1D receptor;f;;Human;10431754|12388666;Partial agonist
SB 216641;5-HT1D receptor;f;;Human;9303567;Partial agonist
terguride;5-HT1D receptor;f;;Human;12388666;Partial agonist
5-HT-moduline;5-HT1D receptor;t;;Human;9774213;Negative
9-OH-risperidone;5-HT1D receptor;f;;Human;8935801;Antagonist
bufotenine;5-HT1D receptor;f;;Human;8967979;Antagonist
cyanopindolol;5-HT1D receptor;f;;Human;1652050;Antagonist
fluspirilene;5-HT1D receptor;f;;Human;8935801;Antagonist
GR 127935;5-HT1D receptor;f;;Human;8967979;Antagonist
haloperidol;5-HT1D receptor;f;;Human;8935801;Antagonist
m-chlorophenylpiperazine;5-HT1D receptor;f;;Human;1652050;Antagonist
ketanserin;5-HT1D receptor;f;;Human;9303569|8967979;Antagonist
L-772,405;5-HT1D receptor;f;;Human;10585208;Antagonist
metergoline;5-HT1D receptor;f;;Human;9303569|8967979|1652050;Antagonist
methysergide;5-HT1D receptor;f;;Human;1565658|8967979;Antagonist
MPDT;5-HT1D receptor;f;;Human;10715164;Antagonist
ocaperidone;5-HT1D receptor;f;;Human;8967979;Antagonist
pipamperone;5-HT1D receptor;f;;Human;8935801;Antagonist
rauwolscine;5-HT1D receptor;f;;Human;1565658;Antagonist
risperidone;5-HT1D receptor;f;;Human;8935801|8967979;Antagonist
ritanserin;5-HT1D receptor;f;;Human;8967979;Antagonist
S33084;5-HT1D receptor;f;;Human;10869410;Antagonist
SB 224289;5-HT1D receptor;f;;Human;9776361|9548813;Antagonist
SB 272183;5-HT1D receptor;f;;Human;11454652;Antagonist
SB 277011-A;5-HT1D receptor;f;;Human;10945872;Antagonist
SB 649915;5-HT1D receptor;f;;Human;15887956;Antagonist
SB 714786;5-HT1D receptor;f;;Human;15887956;Antagonist
sertindole;5-HT1D receptor;f;;Human;8935801;Antagonist
spiperone;5-HT1D receptor;f;;Human;1565658|1652050;Antagonist
[3H]GR 125,743;5-HT1D receptor;f;;Human;10452531;Antagonist
vortioxetine;5-HT1D receptor;f;;Rat;15341484;Antagonist
(+)-WAY 100135;5-HT1D receptor;f;;Human;9208142;Antagonist
yohimbine;5-HT1D receptor;f;;Human;10611634|1565658|8967979|1652050;Antagonist
zotepine;5-HT1D receptor;f;;Human;8935801;Antagonist
methiothepin;5-HT1D receptor;f;;Human;8957260|9303569|8967979|1652050;Inverse agonist
5-BODMT;5-ht1e receptor;f;;Human;21422162;Agonist
2-methyl-5-HT;5-ht1e receptor;f;;Human;8380639;Full agonist
5-CT;5-ht1e receptor;f;;Human;8863519|1608964|8380639|14744596;Full agonist
5-fluorotryptamine;5-ht1e receptor;f;;Human;14744596;Full agonist
5-hydroxytryptamine;5-ht1e receptor;t;;Human;1608964|8380639|14744596|15110837;Full agonist
5-MeO-DMT;5-ht1e receptor;f;;Human;8380639|15110837;Full agonist
5-MeOT;5-ht1e receptor;f;;Human;8863519|8380639|14744596|15110837;Full agonist
8-OH-DPAT;5-ht1e receptor;f;;Human;8380639|14744596;Full agonist
α-methyl-5-HT;5-ht1e receptor;f;;Human;8380639|14744596;Full agonist
asenapine;5-ht1e receptor;f;;Human;8935801;Full agonist
BRL-54443;5-ht1e receptor;f;;Human;;Full agonist
clozapine;5-ht1e receptor;f;;Human;8935801;Full agonist
dihydroergotamine;5-ht1e receptor;f;;Human;8863519;Full agonist
DOI;5-ht1e receptor;f;;Human;8380639|14744596;Full agonist
donitriptan;5-ht1e receptor;f;;Human;10381763;Full agonist
eletriptan;5-ht1e receptor;f;;Human;10193663;Full agonist
EMDT;5-ht1e receptor;f;;Human;10715164;Full agonist
ergometrine;5-ht1e receptor;f;;Human;14744596;Full agonist
ergotamine;5-ht1e receptor;f;;Human;1608964|8380639;Full agonist
LY344864;5-ht1e receptor;f;;Human;9395253;Full agonist
lysergol;5-ht1e receptor;f;;Human;8863519;Full agonist
naratriptan;5-ht1e receptor;f;;Human;10193663;Full agonist
olanzapine;5-ht1e receptor;f;;Human;8935801;Full agonist
quetiapine;5-ht1e receptor;f;;Human;8935801;Full agonist
rizatriptan;5-ht1e receptor;f;;Human;10193663;Full agonist
sumatriptan;5-ht1e receptor;f;;Human;10193663|8863519|1608964|8380639|14744596;Full agonist
[3H]5-HT;5-ht1e receptor;f;;Human;8863519|1608964;Full agonist
TFMPP;5-ht1e receptor;f;;Human;8863519|8380639|14744596;Full agonist
tryptamine;5-ht1e receptor;t;;Human;8380639|14744596|15110837;Full agonist
xanomeline;5-ht1e receptor;f;;Human;9884068;Full agonist
ziprasidone;5-ht1e receptor;f;;Human;8935801;Full agonist
zolmitriptan;5-ht1e receptor;f;;Human;10193663;Full agonist
BRL-15572;5-ht1e receptor;f;;Human;9303567;Partial agonist
GR 127935;5-ht1e receptor;f;;Human;9303567;Partial agonist
m-chlorophenylpiperazine;5-ht1e receptor;f;;Human;14744596;Partial agonist
1-naphthylpiperazine;5-ht1e receptor;f;;Human;8863519|8380639|14744596;Antagonist
9-OH-risperidone;5-ht1e receptor;f;;Human;8935801;Antagonist
fluspirilene;5-ht1e receptor;f;;Human;8935801;Antagonist
metergoline;5-ht1e receptor;f;;Human;8863519|1608964|14744596;Antagonist
methiothepin;5-ht1e receptor;f;;Human;8863519|1608964|8380639|14744596;Antagonist
methylergonovine;5-ht1e receptor;f;;Human;8380639|15110837;Antagonist
methysergide;5-ht1e receptor;f;;Human;8863519|1608964|8380639|14744596|15110837;Antagonist
rauwolscine;5-ht1e receptor;f;;Human;8863519|14744596;Antagonist
risperidone;5-ht1e receptor;f;;Human;8935801;Antagonist
sertindole;5-ht1e receptor;f;;Human;8935801;Antagonist
yohimbine;5-ht1e receptor;f;;Human;8380639;Antagonist
zotepine;5-ht1e receptor;f;;Human;8935801;Antagonist
5-BODMT;5-HT1F receptor;f;;Human;21422162;Agonist
[125I]LSD;5-HT1F receptor;f;;Mouse;1328180;Agonist
2-methyl-5-HT;5-HT1F receptor;f;;Human;8380639;Full agonist
5-CT;5-HT1F receptor;f;;Rat;8384716;Full agonist
5-CT;5-HT1F receptor;f;;Human;8380639|9225282;Full agonist
5-hydroxytryptamine;5-HT1F receptor;t;;Human;8380639;Full agonist
5-hydroxytryptamine;5-HT1F receptor;t;;Rat;8384716;Full agonist
5-hydroxytryptamine;5-HT1F receptor;t;;Human;15900510|8380639|9225282;Full agonist
5-MeO-DMT;5-HT1F receptor;f;;Human;8380639;Full agonist
5-MeOT;5-HT1F receptor;f;;Human;8380639;Full agonist
8-OH-DPAT;5-HT1F receptor;f;;Human;8380639;Full agonist
α-methyl-5-HT;5-HT1F receptor;f;;Human;8380639;Full agonist
BRL-54443;5-HT1F receptor;f;;Human;;Full agonist
clozapine;5-HT1F receptor;f;;Human;8935801;Full agonist
dihydroergotamine;5-HT1F receptor;f;;Human;15900510|9225282;Full agonist
