interaction_id,target,target_id,target_gene_symbol,target_uniprot,target_ensembl_gene_id,target_ligand,target_ligand_id,target_ligand_gene_symbol,target_ligand_ensembl_gene_id,target_ligand_uniprot,target_ligand_pubchem_sid,target_species,ligand,ligand_id,ligand_gene_symbol,ligand_species,ligand_pubchem_sid,approved_drug,type,action,action_comment,selectivity,endogenous,primary_target,concentration_range,affinity_units,affinity_high,affinity_median,affinity_low,original_affinity_units,original_affinity_low_nm,original_affinity_median_nm,original_affinity_high_nm,original_affinity_relation,assay_description,receptor_site,ligand_context,pubmed_id
21,4-hydroxyphenylpyruvate dioxygenase,,,,,,,,,,,Pig,nitisinone,,,,,t,Inhibitor,Inhibition,,Not Determined,f,t,,pIC50,,,,IC50,,,,=,,,,10853644
22,5-HT1A receptor,,Htr1a,P19327,ENSRNOG00000010254,,,,,,,Rat,avitriptan,,,,,f,Agonist,Agonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,9050026
23,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,flibanserin,,,,,t,Agonist,Agonist,,Not Determined,f,t,,pKi,,,,Ki,,,,=,,,,12177684
24,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,frovatriptan,,,,,t,Agonist,Agonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,9986723
25,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LP-12,,,,,f,Agonist,Agonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,17649988
26,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LP-211,,,,,f,Agonist,Agonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,18800769
27,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LP-44,,,,,f,Agonist,Agonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,17649988
28,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,SEP-363856,,,,,f,Agonist,Agonist,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,31371483
29,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,1-naphthylpiperazine,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9397179
30,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,5-CT,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,1386736|9760039|9550290|9205951
31,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,5-hydroxytryptamine,,,,,f,Agonist,Full agonist,,,t,,,pKi,,,,,,,,,,,,1386736|9760039|10431754|9550290|9205951|15628665
32,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,7-methoxy-1-naphthylpiperazine,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9397179
33,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,8-OH-DPAT,,,,,f,Agonist,Full agonist,,Selective,f,f,,pKi,,,,Ki,,,,=,,,,1386736|9760039|9550290|15628665|9495870|10611634|12527336|9067310
34,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,asenapine,,,,,t,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039|8935801
35,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,BMY-14802,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039
36,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,cabergoline,,,,,t,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,12388666
37,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,clozapine,,,,,t,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039|8935801|9732398
38,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,CP 93129,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9205951
39,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,donitriptan,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10381763
40,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,eletriptan,,,,,t,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10193663
41,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,EMDT,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10715164
42,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,FG-5893,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039
43,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,flesinoxan,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039
44,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,"L-694,247",,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9205951
45,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,"L-772,405",,,,,f,Agonist,Full agonist,,,f,,,pIC50,,,,,,,,,,,,10585208
46,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,lisuride,,,,,t,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9550290|9205951|12388666
47,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,"LY 165,163",,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039
48,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LY293284,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,11101361
49,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LY334370,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,15900510
50,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,LY344864,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9395253
51,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,Lysergide,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,12213075
52,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,nafadotride,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,-,,,,=,,,,9760039
53,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,naratriptan,,,,,t,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9205951|10193663
54,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,NLX-101,,,,,f,Agonist,Full agonist,,Selective,f,,,pKi,,,,-,,,,=,,,,19154445
55,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,ocaperidone,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9065439
56,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,olanzapine,,,,,t,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039|8935801
57,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,quetiapine,,,,,t,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039|8935801
58,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,quinpirole,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10431754
59,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,rizatriptan,,,,,t,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10193663
60,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,RU 24969,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039
61,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,S-14506,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039|9550290
62,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,S-14671,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039|9550290
63,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,spiroxatrine,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039
64,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,sumatriptan,,,,,t,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10193663
65,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,[3H]8-OH-DPAT,,,,,f,Agonist,Full agonist,,Not Determined,f,,,pKd,,,,Kd,,,,=,,,,10431754|9550290|15628665|11101361
66,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,[3H]NLX-112,,,,,f,Agonist,Full agonist,,Not Determined,f,,,pKd,,,,Kd,,,,=,,,,20799027
67,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,tandospirone,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039
68,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,U92016A,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,-,,,,=,,,,7965808
69,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,xanomeline,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9884068
70,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,zalospirone,,,,,f,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9760039
71,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,zolmitriptan,,,,,t,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10193663
72,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,apomorphine,,,,,t,Agonist,Partial agonist,,,f,,,pKi,,,,-,,,,=,,,,12388666
73,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,aripiprazole,,,,,t,Agonist,Partial agonist,,Not Determined,f,f,,pKi,,,,-,,,,=,,,,12784105
74,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,BMY-7378,,,,,f,Agonist,Partial agonist,,,f,,,pIC50,,,,,,,,,,,,9048968
75,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,BRL-15572,,,,,f,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,9303567
76,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,bromocriptine,,,,,t,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,12388666
77,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,buspirone,,,,,t,Agonist,Partial agonist,,Not Determined,f,t,,pKi,,,,-,,,,=,,,,1386736|9760039|9550290
78,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,capeserod,,,,,f,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,12130738
79,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,fluparoxan,,,,,f,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,10611634
80,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,GR 127935,,,,,f,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,9397179|9303567
81,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,ipsapirone,,,,,f,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,9760039|9550290
82,5-HT1A receptor,,Htr1a,P19327,ENSRNOG00000010254,,,,,,,Rat,lurasidone,,,,,t,Agonist,Partial agonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,20404009
83,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,pergolide,,,,,t,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,12388666
84,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,piribedil,,,,,f,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,12388666
85,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,roxindole,,,,,f,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,10431754|12388666
86,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(R)-UH 301,,,,,f,Agonist,Partial agonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9760039
87,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,S-15535,,,,,f,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,9550290
88,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,S 16924,,,,,f,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,9732398
89,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,SB 216641,,,,,f,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,9303567
90,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,[3H]S-15535,,,,,f,Agonist,Partial agonist,,,f,,,pKd,,,,,,,,,,,,9550290
91,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,terguride,,,,,t,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,12388666
92,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,vilazodone,,,,,t,Agonist,Partial agonist,,Not Determined,f,t,,pKi,,,,Ki,,,,=,Binding of vilazodone to human 5-HT1A receptors against [3H]8-OH-DPAT (DPAT),,,19499624
93,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,vilazodone,,,,,t,Agonist,Partial agonist,,Not Determined,f,t,,pIC50,,,,IC50,,,,=,,,,15341484
94,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,vortioxetine,,,,,t,Agonist,Partial agonist,,Non-selective,f,t,,pKi,,,,Ki,,,,=,,,,21486038
95,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,ziprasidone,,,,,t,Agonist,Partial agonist,,,f,,,pKi,,,,,,,,,,,,9760039|8935801
96,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,RS-30199,,,,,f,Allosteric modulator,Positive,,Not Determined,f,f,,pKi,,,,-,,,,=,,,,9707291
97,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,9-OH-risperidone,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,8935801
98,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(+)-butaclamol,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039
99,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,chlorpromazine,,,,,t,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039
100,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,cyamemazine,,,,,f,Antagonist,Antagonist,,Not Determined,f,,,pKi,,,,-,,,,=,,,,12527336
101,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,fluspirilene,,,,,t,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,8935801
102,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,"GR 125,743",,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9205951
103,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,"GR 218,231",,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,10869410
104,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,haloperidol,,,,,t,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039|9067310|8935801|9732398
105,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,iloperidone,,,,,t,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,11750183
106,5-HT1A receptor,,Htr1a,P19327,ENSRNOG00000010254,,,,,,,Rat,iloperidone,,,,,t,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,8997630
107,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,p-MPPI,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,15628665
108,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(R)-flurocarazolol,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,11512051
109,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(S)-flurocarazolol,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,11512051
110,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,ketanserin,,,,,t,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,1386736
111,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,mesoridazine,,,,,t,Antagonist,Antagonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,15357957
112,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,methiothepin,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039|9550290
113,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,MPDT,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,10715164
114,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,NAN 190,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039
115,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,pimozide,,,,,t,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039
116,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,pindolol,,,,,t,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9550290
117,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,pipamperone,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,8935801
118,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,pizotifen,,,,,t,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9205951
119,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(-)-propranolol,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9205951
120,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,p-[18F]MPPF,,,,,f,Antagonist,Antagonist,,Not Determined,f,f,,-,,,,-,,,,=,,,,16330560
121,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,raclopride,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039
122,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,Rec 15/3079,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,11714892
123,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,repinotan,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9495870
124,5-HT1A receptor,,Htr1a,P19327,ENSRNOG00000010254,,,,,,,Rat,risperidone,,,,,t,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,8997630
125,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,risperidone,,,,,t,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039|8935801
126,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,ritanserin,,,,,f,Antagonist,Antagonist,,,f,,,pIC50,,,,,,,,,,,,9048968
127,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,robalzotan,,,,,f,Antagonist,Antagonist,,Selective,f,f,,pKi,,,,Ki,,,,=,,,,9336327
128,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,SB 272183,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,11454652
129,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,SB 649915,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,15887956
130,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,SB 714786,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,15887956
131,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,SDZ-216525,,,,,f,Antagonist,Antagonist,,,f,,,pIC50,,,,,,,,,,,,9048968
132,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,sertindole,,,,,t,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9760039|8935801
133,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,spiperone,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,1386736|9760039|9550290
134,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,(S)-UH 301,,,,,f,Antagonist,Antagonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9760039
135,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,[11C]WAY100635,,,,,f,Antagonist,Antagonist,,Not Determined,f,f,,-,,,,-,,,,=,,,,15689356
136,5-HT1A receptor,,HTR1A,P08908,ENSG00000178394,,,,,,,Human,[3H]p-MPPF,,,,,f,Antagonist,Antagonist,,,f,,,pKd,,,,-,,,,=,,,,15628665
