,receptor,family,gene
134,FZD7,Class Frizzled GPCRs,"['fzd7b', 'fzd7a']"
135,FZD8,Class Frizzled GPCRs,"['fzd8b', 'fzd8a', 'fzd8b', 'fzd8a']"
136,FZD9,Class Frizzled GPCRs,"['fzd9b', 'fzd9a']"
137,SMO,Class Frizzled GPCRs,['smo']
138,C3a receptor,Complement peptide receptors,['C3AR1']
139,C5a1 receptor,Complement peptide receptors,['CABZ01041494.1']
140,C5a2 receptor,Complement peptide receptors,['CABZ01041494.1']
141,CRF1 receptor,Corticotropin-releasing factor receptors,['crhr1']
142,CRF2 receptor,Corticotropin-releasing factor receptors,['CRHR2']
143,D1 receptor,Dopamine receptors,['drd1b']
144,D2 receptor,Dopamine receptors,['drd2l']
145,D3 receptor,Dopamine receptors,['drd3']
146,D4 receptor,Dopamine receptors,"['drd4b', 'drd4a']"
147,D5 receptor,Dopamine receptors,['BX530018.1']
148,ETA receptor,Endothelin receptors,"['ednraa', 'ednrab']"
149,ETB receptor,Endothelin receptors,"['ednrbb', 'ednrba']"
150,FPR1,Formylpeptide receptors,"['si:ch73-160i9.2', 'si:dkey-211g8.1', 'si:ch73-160i9.3', 'si:ch73-160i9.1', 'si:ch73-160i9.3']"
151,FPR2/ALX,Formylpeptide receptors,"['si:ch73-160i9.2', 'si:dkey-211g8.1', 'si:ch73-160i9.3', 'si:ch73-160i9.1', 'si:ch73-160i9.3']"
152,FPR3,Formylpeptide receptors,"['si:ch73-160i9.2', 'si:dkey-211g8.1', 'si:ch73-160i9.3', 'si:ch73-160i9.1', 'si:ch73-160i9.3']"
153,FFA1 receptor,Free fatty acid receptors,['si:dkey-211g8.9']
154,FFA2 receptor,Free fatty acid receptors,"['si:ch211-231m23.4', 'si:dkey-211g8.7', 'si:dkey-211g8.6', 'CU855821.1', 'si:ch73-90p23.1']"
155,FFA3 receptor,Free fatty acid receptors,"['si:ch211-231m23.4', 'si:dkey-211g8.7', 'si:dkey-211g8.6', 'CU855821.1', 'si:ch73-90p23.1']"
156,GABAB1,GABAB receptors,"['gabbr1b', 'gabbr1a']"
157,GABAB2,GABAB receptors,"['gabbr2', 'CR855311.5']"
158,GAL1 receptor,Galanin receptors,['galr1a']
159,GAL2 receptor,Galanin receptors,['galr2a']
160,GAL3 receptor,Galanin receptors,['galr2b']
161,ghrelin receptor,Ghrelin receptor,"['ghsra', 'ghsrb']"
162,GHRH receptor,Glucagon receptor family,['ghrhrl']
163,glucagon receptor,Glucagon receptor family,['gipr']
164,FSH receptor,Glycoprotein hormone receptors,['fshr']
165,LH receptor,Glycoprotein hormone receptors,['lhcgr']
166,TSH receptor,Glycoprotein hormone receptors,['tshr']
167,GnRH1 receptor,Gonadotrophin-releasing hormone receptors,"['gnrhr2', 'gnrhr4', 'gnrhr1', 'CABZ01080434.1']"
168,GPR18,"GPR18, GPR55 and GPR119",['gpr18']
169,GPR55,"GPR18, GPR55 and GPR119",['gpr55a']
170,GPR119,"GPR18, GPR55 and GPR119",['AL935199.1']
171,GPER,G protein-coupled estrogen receptor,['gper1']
172,H2 receptor,Histamine receptors,['hrh2a']
173,kisspeptin receptor,Kisspeptin receptor,['kiss1rb']
174,BLT1 receptor,Leukotriene receptors,['ltb4r']
175,BLT2 receptor,Leukotriene receptors,"['ltb4r2b', 'ltb4r2a']"
176,CysLT1 receptor,Leukotriene receptors,['cysltr1']
177,CysLT2 receptor,Leukotriene receptors,['cysltr3']
178,FPR2/ALX,Leukotriene receptors,"['si:ch73-160i9.2', 'si:dkey-211g8.1', 'si:ch73-160i9.3', 'si:ch73-160i9.1', 'si:ch73-160i9.3']"
179,LPA1 receptor,Lysophospholipid (LPA) receptors,['lpar1']
180,LPA2 receptor,Lysophospholipid (LPA) receptors,"['lpar2a', 'lpar2b']"
181,LPA3 receptor,Lysophospholipid (LPA) receptors,['lpar3']
182,LPA4 receptor,Lysophospholipid (LPA) receptors,['lpar4']
183,LPA5 receptor,Lysophospholipid (LPA) receptors,"['lpar5a', 'lpar5b']"
184,LPA6 receptor,Lysophospholipid (LPA) receptors,"['lpar6a', 'lpar6b']"
185,S1P1 receptor,Lysophospholipid (S1P) receptors,['s1pr1']
186,S1P2 receptor,Lysophospholipid (S1P) receptors,['s1pr2']
187,S1P4 receptor,Lysophospholipid (S1P) receptors,['s1pr4']
188,S1P5 receptor,Lysophospholipid (S1P) receptors,['s1pr5b']
189,MCH1 receptor,Melanin-concentrating hormone receptors,"['mchr1b', 'mchr1a']"
190,MC2 receptor,Melanocortin receptors,['mc2r']
191,MC3 receptor,Melanocortin receptors,['mc3r']
192,MC4 receptor,Melanocortin receptors,['mc4r']
193,MC5 receptor,Melanocortin receptors,"['mc5ra', 'mc5rb']"
194,MT1 receptor,Melatonin receptors,"['mtnr1aa', 'mtnr1ab']"
195,mGlu1 receptor,Metabotropic glutamate receptors,"['grm1a', 'grm1b', 'chadlb']"
196,mGlu2 receptor,Metabotropic glutamate receptors,"['grm2a', 'grm2b']"
197,mGlu3 receptor,Metabotropic glutamate receptors,['grm3']
198,mGlu5 receptor,Metabotropic glutamate receptors,"['grm5a', 'grm5b']"
199,mGlu6 receptor,Metabotropic glutamate receptors,"['grm6a', 'grm6b']"
200,mGlu7 receptor,Metabotropic glutamate receptors,"['GRM7', 'CR974456.1']"
201,mGlu8 receptor,Metabotropic glutamate receptors,"['grm8b', 'grm8a']"
202,NMU1 receptor,Neuromedin U receptors,"['nmur1b', 'nmur1a']"
203,NPFF1 receptor,Neuropeptide FF/neuropeptide AF receptors,['npffr1']
204,NPFF2 receptor,Neuropeptide FF/neuropeptide AF receptors,"['NPFFR2', 'npffr2b']"
205,NPS receptor,Neuropeptide S receptor,['si:dkey-78k11.9']
206,Y1 receptor,Neuropeptide Y receptors,['npy1r']
207,Y2 receptor,Neuropeptide Y receptors,"['npy2rl', 'npy2r']"
208,Y5 receptor,Neuropeptide Y receptors,['npy4r']
209,NTS1 receptor,Neurotensin receptors,['ntsr1']
210,δ receptor,Opioid receptors,"['oprd1b', 'oprd1a']"
211,κ receptor,Opioid receptors,['oprk1']
212,μ receptor,Opioid receptors,['oprm1']
213,NOP receptor,Opioid receptors,['oprl1']
214,OPN1MW,Opsin receptors,"['opn1lw2', 'opn1lw1']"
215,OPN1SW,Opsin receptors,['opn1sw1']
216,Rhodopsin,Opsin receptors,"['rho', 'rhol', 'CABZ01109058.1', 'exorh']"
217,OPN3,Opsin receptors,['opn3']
218,OPN4,Opsin receptors,['opn4.1']
219,OPN5,Opsin receptors,['opn5']
220,OX2 receptor,Orexin receptors,['hcrtr2']
221,GPR107,Other 7TM proteins,['gpr107']
222,GPR137,Other 7TM proteins,['gpr137']
223,TPRA1,Other 7TM proteins,['tpra1']
224,GPR143,Other 7TM proteins,['gpr143']
225,GPR157,Other 7TM proteins,['gpr157']
226,oxoglutarate receptor,Oxoglutarate receptor,"['oxgr1b', 'oxgr1a.1', 'oxgr1a.3', 'oxgr1a.2']"
227,P2Y1 receptor,P2Y receptors,['p2ry1']
228,P2Y2 receptor,P2Y receptors,"['p2ry2.1', 'p2ry2.3', 'p2ry2.2']"
229,P2Y12 receptor,P2Y receptors,['p2ry12']
230,P2Y13 receptor,P2Y receptors,['p2ry13']
231,P2Y14 receptor,P2Y receptors,['P2RY14']
232,PTH1 receptor,Parathyroid hormone receptors,['pth1ra']
233,PTH2 receptor,Parathyroid hormone receptors,"['pth2r', 'si:dkeyp-4h4.1']"
234,PAF receptor,Platelet-activating factor receptor,['ptafr']
235,PrRP receptor,Prolactin-releasing peptide receptor,['PRLHR']
236,EP1 receptor,Prostanoid receptors,"['ptger1c', 'ptger1a', 'ptger1b']"
237,EP2 receptor,Prostanoid receptors,"['ptger2a', 'ptger2b']"
238,EP3 receptor,Prostanoid receptors,['ptger3']
239,EP4 receptor,Prostanoid receptors,"['ptger4b', 'ptger4a']"
240,FP receptor,Prostanoid receptors,['ptgfr']
241,IP receptor,Prostanoid receptors,['ptgir']
242,TP receptor,Prostanoid receptors,['tbxa2r']
243,PAR1,Proteinase-activated receptors,"['si:dkey-163m14.2', 'f2r', 'zgc:171965', 'F2R (1 of many)', 'F2R (1 of many)', 'F2R (1 of many)', 'F2R (1 of many)']"
244,PAR2,Proteinase-activated receptors,"['f2rl1.1', 'f2rl1.2']"
245,PAR3,Proteinase-activated receptors,"['CABZ01071020.1', 'f2rl2']"
246,PAR4,Proteinase-activated receptors,['F2RL3']
247,QRFP receptor,QRFP receptor,"['qrfpra', 'CABZ01084347.1']"
248,RXFP1,Relaxin family peptide receptors,['rxfp1']
249,RXFP2,Relaxin family peptide receptors,"['rxfp2b', 'rxfp2a']"
250,RXFP3,Relaxin family peptide receptors,['rxfp3']
251,SST1 receptor,Somatostatin receptors,['sstr1a']
252,SST2 receptor,Somatostatin receptors,"['sstr2a', 'sstr2b']"
253,SST3 receptor,Somatostatin receptors,['sstr5']
254,SST5 receptor,Somatostatin receptors,"['sstr3', 'si:zfos-169g10.2']"
255,NK1 receptor,Tachykinin receptors,"['tacr1a', 'tacr1b']"
256,NK2 receptor,Tachykinin receptors,['tacr2']
257,NK3 receptor,Tachykinin receptors,"['tacr3l', 'tacr3a']"
258,TAS1R3,Taste 1 receptors,['tas1r3']
259,TRH1 receptor,Thyrotropin-releasing hormone receptors,"['trhrb', 'trhra']"
260,TRH2 receptor,Thyrotropin-releasing hormone receptors,['trhr2']
261,TA1 receptor,Trace amine receptor,['taar1b']
262,V1A receptor,Vasopressin and oxytocin receptors,"['avpr1ab', 'avpr1aa']"
263,V2 receptor,Vasopressin and oxytocin receptors,"['avpr2aa', 'avpr2ab']"
264,OT receptor,Vasopressin and oxytocin receptors,"['oxtr', 'oxtrl']"
265,PAC1 receptor,VIP and PACAP receptors,"['adcyap1r1a', 'adcyap1r1a']"
266,VPAC2 receptor,VIP and PACAP receptors,['vipr2']
267,5-HT3A,5-HT3 receptors,['htr3a']
268,5-HT3B,5-HT3 receptors,['htr3b']
269,ASIC1,Acid-sensing (proton-gated) ion channels (ASICs),['asic1a']
270,ASIC2,Acid-sensing (proton-gated) ion channels (ASICs),['asic2']
271,GABAA receptor α1 subunit,GABAA receptors,['gabra1']
272,GABAA receptor α2 subunit,GABAA receptors,"['gabra2a', 'GABRA2']"
273,GABAA receptor α3 subunit,GABAA receptors,['gabra3']
274,GABAA receptor α4 subunit,GABAA receptors,['gabra4']
275,GABAA receptor α5 subunit,GABAA receptors,['gabra5']
276,GABAA receptor α6 subunit,GABAA receptors,"['gabra6b', 'gabra6a']"
277,GABAA receptor β2 subunit,GABAA receptors,"['gabrb2a', 'GABRB2 (1 of many)']"
278,GABAA receptor β3 subunit,GABAA receptors,['gabrb3']
279,GABAA receptor γ1 subunit,GABAA receptors,['gabrg1']
280,GABAA receptor γ2 subunit,GABAA receptors,['gabrg2']
281,GABAA receptor δ subunit,GABAA receptors,['gabrd']
282,GABAA receptor ρ1 subunit,GABAA receptors,"['gabrr1', 'GABRR1 (1 of many)']"
283,GABAA receptor ρ2 subunit,GABAA receptors,"['gabrr2b', 'gabrr2a']"
284,GABAA receptor ρ3 subunit,GABAA receptors,"['gabrr3a', 'gabrr3b']"
285,glycine receptor α1 subunit,Glycine receptors,['glra1']
286,glycine receptor α2 subunit,Glycine receptors,['glra2']
287,glycine receptor α3 subunit,Glycine receptors,['glra3']
288,glycine receptor α4 subunit (pseudogene in humans),Glycine receptors,['glra4a']
289,glycine receptor β subunit,Glycine receptors,"['glrbb', 'glrba']"
290,GluA1,Ionotropic glutamate receptors,"['gria1a', 'gria1b']"
291,GluA2,Ionotropic glutamate receptors,"['gria2b', 'gria2a']"
292,GluA3,Ionotropic glutamate receptors,"['gria3a', 'gria3b']"
293,GluA4,Ionotropic glutamate receptors,['gria4a']
294,GluD1,Ionotropic glutamate receptors,"['grid1b', 'grid1a']"
295,GluD2,Ionotropic glutamate receptors,['grid2']
296,GluK1,Ionotropic glutamate receptors,"['grik1b', 'grik1a']"
297,GluK2,Ionotropic glutamate receptors,['GRIK2']
298,GluK3,Ionotropic glutamate receptors,['GRIK3']
299,GluK4,Ionotropic glutamate receptors,['grik4']
300,GluK5,Ionotropic glutamate receptors,"['si:ch211-264f5.8', 'grik5', 'LO018585.1']"
301,GluN1,Ionotropic glutamate receptors,"['grin1b', 'grin1a']"
302,GluN2A,Ionotropic glutamate receptors,['grin2aa']
303,GluN2B,Ionotropic glutamate receptors,"['grin2bb', 'GRIN2B (1 of many)']"
304,GluN2C,Ionotropic glutamate receptors,"['grin2cb', 'grin2ca']"
305,GluN2D,Ionotropic glutamate receptors,"['grin2db', 'grin2da']"
306,GluN3B,Ionotropic glutamate receptors,"['grin3ba', 'grin3bb']"
307,IP3R1,IP3 receptor,"['itpr1a', 'itpr1b']"
308,IP3R2,IP3 receptor,['itpr2']
309,IP3R3,IP3 receptor,['itpr3']
310,nicotinic acetylcholine receptor α1 subunit,Nicotinic acetylcholine receptors,['chrna1']
311,nicotinic acetylcholine receptor α2 subunit,Nicotinic acetylcholine receptors,"['chrna2a', 'chrna2b']"
312,nicotinic acetylcholine receptor α3 subunit,Nicotinic acetylcholine receptors,['chrna3']
313,nicotinic acetylcholine receptor α4 subunit,Nicotinic acetylcholine receptors,"['chrna4b', 'chrna4a']"
314,nicotinic acetylcholine receptor α5 subunit,Nicotinic acetylcholine receptors,['chrna5']
315,nicotinic acetylcholine receptor α6 subunit,Nicotinic acetylcholine receptors,['chrna6']
316,nicotinic acetylcholine receptor α7 subunit,Nicotinic acetylcholine receptors,"['FO907089.1', 'chrna7']"
317,nicotinic acetylcholine receptor α9 subunit,Nicotinic acetylcholine receptors,"['chrna9', 'LO018568.1']"
318,nicotinic acetylcholine receptor α10 subunit,Nicotinic acetylcholine receptors,['chrna10a']
319,nicotinic acetylcholine receptor β1 subunit,Nicotinic acetylcholine receptors,"['chrnb1l', 'chrnb1']"
320,nicotinic acetylcholine receptor β2 subunit,Nicotinic acetylcholine receptors,['chrnb2']
321,nicotinic acetylcholine receptor β3 subunit,Nicotinic acetylcholine receptors,"['chrnb3b', 'chrnb3a']"
322,nicotinic acetylcholine receptor β4 subunit,Nicotinic acetylcholine receptors,['chrnb4']
323,nicotinic acetylcholine receptor δ subunit,Nicotinic acetylcholine receptors,['chrnd']
324,nicotinic acetylcholine receptor ε subunit,Nicotinic acetylcholine receptors,['chrne']
325,P2X1,P2X receptors,['p2rx1']
326,P2X2,P2X receptors,['p2rx2']
327,P2X3,P2X receptors,"['p2rx3a', 'p2rx3b']"
328,P2X4,P2X receptors,"['p2rx4b', 'p2rx4a']"
329,P2X5,P2X receptors,"['p2rx5', 'p2rx8']"
330,P2X7,P2X receptors,['p2rx7']
