,receptor,family,gene
27,FZD1,Class Frizzled GPCRs,['fz3']
28,FZD2,Class Frizzled GPCRs,['fz3']
29,FZD3,Class Frizzled GPCRs,['fz3']
30,FZD4,Class Frizzled GPCRs,['fz4']
31,FZD5,Class Frizzled GPCRs,"['fz2', 'fz3']"
32,FZD7,Class Frizzled GPCRs,['fz3']
33,FZD8,Class Frizzled GPCRs,"['fz3', 'fz3']"
34,FZD9,Class Frizzled GPCRs,['fz3']
35,SMO,Class Frizzled GPCRs,['smo']
36,CRF1 receptor,Corticotropin-releasing factor receptors,['Dh44-R1']
37,ETA receptor,Endothelin receptors,"['CCHa2-R', 'CCHa1-R']"
38,ETB receptor,Endothelin receptors,"['CCHa2-R', 'CCHa1-R']"
39,GABAB1,GABAB receptors,['GABA-B-R1']
40,GABAB2,GABAB receptors,['GABA-B-R2']
41,GAL2 receptor,Galanin receptors,"['AstA-R2', 'AstA-R1']"
42,FSH receptor,Glycoprotein hormone receptors,['Lgr1']
43,LH receptor,Glycoprotein hormone receptors,['Lgr1']
44,TSH receptor,Glycoprotein hormone receptors,['Lgr1']
45,GnRH1 receptor,Gonadotrophin-releasing hormone receptors,['AkhR']
46,H1 receptor,Histamine receptors,['mAChR-C']
47,kisspeptin receptor,Kisspeptin receptor,['AstC-R1']
48,mGlu2 receptor,Metabotropic glutamate receptors,"['mGluR', 'mtt']"
49,mGlu3 receptor,Metabotropic glutamate receptors,"['mGluR', 'mtt']"
50,NMU1 receptor,Neuromedin U receptors,"['CapaR', 'PK2-R2', 'PK2-R1', 'PK1-R']"
51,NMU2 receptor,Neuromedin U receptors,"['CapaR', 'PK2-R2', 'PK2-R1', 'PK1-R']"
52,OPN4,Opsin receptors,"['ninaE', 'Rh2', 'Rh3', 'Rh4', 'Rh5', 'Rh6']"
53,GPR107,Other 7TM proteins,['CG12121']
54,EP1 receptor,Prostanoid receptors,['CG7497']
55,EP3 receptor,Prostanoid receptors,['CG7497']
56,FP receptor,Prostanoid receptors,['CG7497']
57,TP receptor,Prostanoid receptors,['CG7497']
58,SST2 receptor,Somatostatin receptors,['AstC-R2']
59,NK2 receptor,Tachykinin receptors,"['TkR99D', 'TkR86C']"
60,UT receptor,Urotensin receptor,"['AstA-R2', 'AstA-R1']"
61,V2 receptor,Vasopressin and oxytocin receptors,['CCAP-R']
62,Hepatocyte nuclear factor-4-α,2A. Hepatocyte nuclear factor-4 receptors,"['usp', 'Hr78', 'Hr83']"
63,Hepatocyte nuclear factor-4-γ,2A. Hepatocyte nuclear factor-4 receptors,"['usp', 'Hr78', 'Hr83']"
64,Retinoid X receptor-α,2B. Retinoid X receptors,"['usp', 'Hr78', 'Hr83']"
65,Retinoid X receptor-β,2B. Retinoid X receptors,"['usp', 'Hr78', 'Hr83']"
66,Retinoid X receptor-γ,2B. Retinoid X receptors,"['usp', 'Hnf4', 'Hr78', 'Hr83']"
67,Testicular receptor 2,2C. Testicular receptors,"['usp', 'Hr78', 'Hr83']"
68,Testicular receptor 4,2C. Testicular receptors,"['usp', 'Hr78', 'Hr83']"
69,TLX,2E. Tailless-like receptors,['tll']
70,COUP-TF1,2F. COUP-TF-like receptors,['Hr83']
71,COUP-TF2,2F. COUP-TF-like receptors,"['usp', 'Hr78', 'Hr83']"
72,V-erbA-related gene,2F. COUP-TF-like receptors,"['usp', 'Hr78', 'Hr83']"
73,Estrogen receptor-α,3A. Estrogen receptors,['ERR']
74,Estrogen receptor-β,3A. Estrogen receptors,['ERR']
75,Estrogen-related receptor-α,3B. Estrogen-related receptors,['ERR']
76,Estrogen-related receptor-β,3B. Estrogen-related receptors,['ERR']
77,Estrogen-related receptor-γ,3B. Estrogen-related receptors,['ERR']
78,Androgen receptor,3C. 3-Ketosteroid receptors,['ERR']
79,Glucocorticoid receptor,3C. 3-Ketosteroid receptors,['ERR']
80,Mineralocorticoid receptor,3C. 3-Ketosteroid receptors,['ERR']
81,Progesterone receptor,3C. 3-Ketosteroid receptors,['ERR']
82,Nerve Growth factor IB,4A. Nerve growth factor IB-like receptors,['Hr38']
83,Nuclear receptor related 1,4A. Nerve growth factor IB-like receptors,['Hr38']
84,Neuron-derived orphan receptor 1,4A. Nerve growth factor IB-like receptors,['Hr38']
85,Steroidogenic factor 1,5A. Fushi tarazu F1-like receptors,"['ftz-f1', 'Hr39']"
86,Liver receptor homolog-1,5A. Fushi tarazu F1-like receptors,"['ftz-f1', 'Hr39']"
87,Germ cell nuclear factor,6A. Germ cell nuclear factor receptors,['Hr4']
88,KCa1.1,Calcium- and sodium-activated potassium channels,['SLO2']
89,KCa2.1,Calcium- and sodium-activated potassium channels,['SK']
90,KCa2.2,Calcium- and sodium-activated potassium channels,['SK']
91,KCa2.3,Calcium- and sodium-activated potassium channels,['SK']
92,KCa3.1,Calcium- and sodium-activated potassium channels,['SK']
93,KNa1.1,Calcium- and sodium-activated potassium channels,['SLO2']
94,KNa1.2,Calcium- and sodium-activated potassium channels,['SLO2']
95,KCa5.1,Calcium- and sodium-activated potassium channels,['SLO2']
96,CatSper1,CatSper and Two-Pore channels,['cac']
97,Kir1.1,Inwardly rectifying potassium channels,['Irk3']
98,Kir3.1,Inwardly rectifying potassium channels,"['Irk2', 'Irk1']"
99,Kir3.2,Inwardly rectifying potassium channels,"['Irk2', 'Irk1']"
100,Kir3.3,Inwardly rectifying potassium channels,"['Irk2', 'Irk1']"
101,Kir3.4,Inwardly rectifying potassium channels,"['Irk2', 'Irk1']"
102,Kir6.1,Inwardly rectifying potassium channels,['Irk3']
103,Kir6.2,Inwardly rectifying potassium channels,['Irk3']
104,RyR1,Ryanodine receptors,['RyR']
105,RyR2,Ryanodine receptors,['RyR']
106,RyR3,Ryanodine receptors,['RyR']
107,TRPA1,Transient Receptor Potential channels,['TrpA1']
108,TRPC1,Transient Receptor Potential channels,"['trp', 'trpl']"
109,TRPC4,Transient Receptor Potential channels,"['trp', 'trpl']"
110,TRPC5,Transient Receptor Potential channels,"['trp', 'trpl']"
111,TRPM1,Transient Receptor Potential channels,['Trpm']
112,TRPM3,Transient Receptor Potential channels,['Trpm']
113,TRPM4,Transient Receptor Potential channels,['Trpm']
114,TRPM5,Transient Receptor Potential channels,['Trpm']
115,TRPM6,Transient Receptor Potential channels,['Trpm']
116,TRPM7,Transient Receptor Potential channels,['Trpm']
117,TRPM8,Transient Receptor Potential channels,['Trpm']
118,TRPML1,Transient Receptor Potential channels,"['CG42638', 'Trpml']"
119,TRPML2,Transient Receptor Potential channels,"['CG42638', 'Trpml']"
120,TRPML3,Transient Receptor Potential channels,"['CG42638', 'Trpml']"
121,TRPP1,Transient Receptor Potential channels,['Pkd2']
122,TRPP3,Transient Receptor Potential channels,['Pkd2']
123,TRPV1,Transient Receptor Potential channels,"['nan', 'iav']"
124,TRPV2,Transient Receptor Potential channels,"['nan', 'iav']"
125,TRPV3,Transient Receptor Potential channels,"['nan', 'iav']"
126,TRPV4,Transient Receptor Potential channels,"['nan', 'iav']"
127,TRPV5,Transient Receptor Potential channels,"['nan', 'iav']"
128,TRPV6,Transient Receptor Potential channels,"['nan', 'iav']"
129,K2P1.1,Two P domain potassium channels,"['Ork1', 'Task7', 'Task6', 'CG10864', 'CG42340']"
130,K2P2.1,Two P domain potassium channels,"['Ork1', 'Task7', 'Task6', 'CG10864', 'CG42340']"
131,K2P3.1,Two P domain potassium channels,"['Task7', 'Task6', 'CG10864', 'CG42340']"
132,K2P4.1,Two P domain potassium channels,"['Ork1', 'Task7', 'Task6', 'CG10864', 'CG42340']"
133,K2P5.1,Two P domain potassium channels,"['Ork1', 'Task7', 'Task6', 'CG10864', 'CG42340']"
134,K2P6.1,Two P domain potassium channels,"['Ork1', 'Task7', 'Task6', 'CG10864', 'CG42340', 'Ork1', 'Task7', 'Task6', 'CG10864', 'CG42340']"
135,K2P7.1,Two P domain potassium channels,"['Ork1', 'sand', 'Task7', 'Task6', 'CG10864', 'CG34396', 'CG42340', 'CG42594']"
136,K2P9.1,Two P domain potassium channels,"['Ork1', 'Task7', 'Task6', 'CG10864', 'CG42340']"
137,K2P10.1,Two P domain potassium channels,"['Ork1', 'Task7', 'Task6', 'CG10864', 'CG42340']"
138,K2P12.1,Two P domain potassium channels,"['Ork1', 'Task7', 'Task6', 'CG10864', 'CG42340']"
139,K2P13.1,Two P domain potassium channels,"['Ork1', 'Task7', 'Task6', 'CG10864', 'CG42340']"
140,K2P15.1,Two P domain potassium channels,"['Task7', 'Task6', 'CG10864', 'CG42340']"
141,K2P16.1,Two P domain potassium channels,"['Ork1', 'Task7', 'Task6', 'CG10864', 'CG42340']"
142,K2P18.1,Two P domain potassium channels,"['Ork1', 'sand', 'Task7', 'Task6', 'CG10864', 'CG34396', 'CG42340', 'CG42594', 'CG43155']"
143,Kv4.3,Voltage-gated potassium channels,['Shal']
144,Kv10.1,Voltage-gated potassium channels,['eag']
145,ASIC1,Acid-sensing (proton-gated) ion channels (ASICs),"['Nach', 'ppk28', 'ppk17', 'ppk6', 'ppk12', 'ppk29', 'ppk24', 'ppk22', 'ppk8', 'ppk5', 'ppk16', 'ppk11', 'ppk9', 'ppk18']"
146,ASIC2,Acid-sensing (proton-gated) ion channels (ASICs),"['Nach', 'ppk28', 'ppk17', 'ppk6', 'ppk12', 'ppk29', 'ppk24', 'ppk22', 'ppk8', 'ppk5', 'ppk16', 'ppk11', 'ppk9', 'ppk18']"
147,ASIC3,Acid-sensing (proton-gated) ion channels (ASICs),"['Nach', 'ppk28', 'ppk17', 'ppk6', 'ppk12', 'ppk29', 'ppk24', 'ppk22', 'ppk8', 'ppk5', 'ppk16', 'ppk11', 'ppk9', 'ppk18']"
148,ENaC α,Epithelial sodium channel (ENaC),"['Nach', 'ppk28', 'ppk17', 'ppk6', 'ppk12', 'ppk29', 'ppk24', 'ppk22', 'ppk8', 'ppk5', 'ppk16', 'ppk11', 'ppk9', 'ppk18']"
149,ENaC β,Epithelial sodium channel (ENaC),"['Nach', 'ppk28', 'ppk17', 'ppk6', 'ppk12', 'ppk29', 'ppk24', 'ppk22', 'ppk8', 'ppk5', 'ppk16', 'ppk11', 'ppk9', 'ppk18']"
150,ENaC γ,Epithelial sodium channel (ENaC),"['Nach', 'ppk28', 'ppk17', 'ppk6', 'ppk12', 'ppk29', 'ppk24', 'ppk22', 'ppk8', 'ppk5', 'ppk16', 'ppk11', 'ppk9', 'ppk18']"
151,GluN1,Ionotropic glutamate receptors,"['Nmdar1', 'Ir7f']"
152,IP3R1,IP3 receptors,['RyR']
153,IP3R2,IP3 receptors,['RyR']
154,IP3R3,IP3 receptors,['RyR']
155,AQP0,Aquaporins,"['Eglp1', 'Eglp2', 'Eglp3', 'Eglp4']"
156,AQP1,Aquaporins,"['Eglp1', 'Eglp2', 'Eglp3', 'Eglp4']"
157,AQP2,Aquaporins,"['Drip', 'Eglp1', 'Eglp2', 'Eglp3', 'Eglp4']"
158,AQP3,Aquaporins,"['Eglp1', 'Eglp2', 'Eglp3', 'Eglp4']"
159,AQP4,Aquaporins,"['Eglp1', 'Eglp2', 'Eglp3', 'Eglp4']"
160,AQP5,Aquaporins,"['Drip', 'Eglp1', 'Eglp2', 'Eglp3', 'Eglp4']"
161,AQP6,Aquaporins,"['Drip', 'Eglp1', 'Eglp2', 'Eglp3', 'Eglp4']"
162,AQP7,Aquaporins,"['Eglp1', 'Eglp2', 'Eglp3', 'Eglp4']"
163,AQP8,Aquaporins,"['Eglp1', 'Eglp2', 'Eglp3', 'Eglp4']"
164,AQP9,Aquaporins,"['Drip', 'Eglp1', 'Eglp2', 'Eglp3', 'Eglp4']"
165,AQP11,Aquaporins,['AQP']
166,CFTR,CFTR,"['l(2)03659', 'CG7627', 'MRP', 'CG9270', 'CG10505', 'CG4562', 'rdog', 'CG11898', 'CG31792', 'Mrp4']"
167,ClC-1,ClC family,['ClC-c']
168,ClC-2,ClC family,"['ClC-c', 'ClC-c']"
169,ClC-Ka,ClC family,"['ClC-c', 'ClC-a']"
170,ClC-Kb,ClC family,"['ClC-c', 'ClC-a']"
171,ClC-3,ClC family,['ClC-c']
172,ClC-4,ClC family,['ClC-c']
173,ClC-5,ClC family,['ClC-c']
174,ClC-6,ClC family,['ClC-c']
175,ClC-7,ClC family,['ClC-b']
176,Orai1,Orai channels,['olf186-F']
177,Orai2,Orai channels,['olf186-F']
178,Orai3,Orai channels,['olf186-F']
179,Piezo1,Piezo channels,['Piezo']
180,Piezo2,Piezo channels,['Piezo']
181,Navi2.1,"Sodium leak channel, non-selective",['na']
182,GDNF family receptor α2,GDNF receptor family,['Gfrl']
183,GDNF family receptor α3,GDNF receptor family,['Gfrl']
184,GDNF family receptor α4,GDNF receptor family,['Gfrl']
185,GDNF family receptor alpha like,GDNF receptor family,['Gfrl']
186,"integrin, alpha 1 subunit",Integrins,"['if', 'mew', 'ItgaPS4', 'ItgaPS5', 'scb']"
187,"integrin, alpha 2 subunit (CD49B, alpha 2 subunit of VLA-2 receptor)",Integrins,"['if', 'ItgaPS4', 'ItgaPS5', 'scb']"
188,"integrin, alpha IIb subunit (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)",Integrins,"['if', 'mew', 'ItgaPS4', 'ItgaPS5', 'scb']"
189,"integrin, alpha 3 subunit (antigen CD49C, alpha 3 subunit of VLA-3 receptor)",Integrins,"['if', 'mew', 'ItgaPS4', 'ItgaPS5', 'scb']"
190,"integrin, alpha 4 subunit (antigen CD49D, alpha 4 subunit of VLA-4 receptor)",Integrins,"['if', 'ItgaPS4', 'ItgaPS5', 'scb']"
191,"integrin, alpha 5 subunit (fibronectin receptor, alpha polypeptide)",Integrins,"['if', 'ItgaPS4', 'ItgaPS5', 'scb']"
192,"integrin, alpha 6 subunit",Integrins,"['if', 'ItgaPS4', 'ItgaPS5', 'scb']"
193,"integrin, alpha 7 subunit",Integrins,"['if', 'mew', 'ItgaPS4', 'ItgaPS5', 'scb']"
194,"integrin, alpha 8 subunit",Integrins,"['if', 'ItgaPS4', 'ItgaPS5', 'scb']"
195,"integrin, alpha 9 subunit",Integrins,"['if', 'ItgaPS4', 'ItgaPS5', 'scb']"
196,"integrin, alpha 10 subunit",Integrins,"['if', 'mew', 'ItgaPS4', 'ItgaPS5', 'scb']"
197,"integrin, alpha 11 subunit",Integrins,"['if', 'ItgaPS4', 'ItgaPS5', 'scb']"
198,"integrin, alpha D subunit",Integrins,"['if', 'mew', 'ItgaPS4', 'ItgaPS5', 'scb']"
199,"integrin, alpha E subunit (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)",Integrins,"['if', 'mew', 'ItgaPS4', 'ItgaPS5', 'scb']"
200,"integrin, alpha L subunit (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)",Integrins,"['if', 'mew', 'ItgaPS4', 'ItgaPS5', 'scb']"
201,"integrin, alpha M subunit (complement component 3 receptor 3 subunit)",Integrins,"['if', 'mew', 'ItgaPS4', 'ItgaPS5', 'scb']"
202,"integrin, alpha V subunit",Integrins,"['if', 'mew', 'ItgaPS4', 'ItgaPS5', 'scb']"
203,"integrin, alpha X subunit (complement component 3 receptor 4 subunit)",Integrins,"['if', 'ItgaPS4', 'ItgaPS5', 'scb']"
204,"integrin, beta 1 subunit (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",Integrins,"['mys', 'Itgbn']"
205,"integrin, beta 2 subunit (complement component 3 receptor 3 and 4 subunit)",Integrins,"['mys', 'Itgbn']"
206,"integrin, beta 7 subunit",Integrins,"['mys', 'Itgbn']"
207,Guanylyl cyclase β1 subunit,Nitric oxide (NO)-sensitive (soluble) guanylyl cyclase,['Gycbeta100B']
208,NLRC4,NOD-like receptor family,['Diap2']
209,RTP Type O,Receptor tyrosine phosphatase (RTP) family,"['Ptp4E', 'Ptp10D']"
210,Guanylyl cyclase-A,Transmembrane guanylyl cyclases,['CG31183']
211,activin A receptor type 2A,Type II receptor serine/threonine kinases,"['put', 'tkv', 'babo']"
212,activin A receptor type 2B,Type II receptor serine/threonine kinases,['put']
213,anti-Mullerian hormone receptor type 2,Type II receptor serine/threonine kinases,"['put', 'tkv', 'babo', 'wit']"
214,bone morphogenetic protein receptor type 2,Type II receptor serine/threonine kinases,['put']
215,transforming growth factor beta receptor 2,Type II receptor serine/threonine kinases,['put']
216,activin A receptor type IL,Type I receptor serine/threonine kinases,"['put', 'tkv', 'babo', 'wit']"
217,activin A receptor type 1,Type I receptor serine/threonine kinases,"['put', 'tkv', 'babo']"
218,bone morphogenetic protein receptor type IA,Type I receptor serine/threonine kinases,['put']
219,activin A receptor type 1B,Type I receptor serine/threonine kinases,"['put', 'tkv', 'babo']"
220,transforming growth factor beta receptor 1,Type I receptor serine/threonine kinases,['put']
221,bone morphogenetic protein receptor type IB,Type I receptor serine/threonine kinases,"['put', 'tkv']"
222,activin A receptor type 1C,Type I receptor serine/threonine kinases,"['put', 'tkv', 'babo']"
223,muscle associated receptor tyrosine kinase,Type IX RTKs: MuSK,['Nrk']
224,protein tyrosine kinase 7 (inactive),Type VI RTKs: PTK7/CCK4,"['otk', 'otk2']"
225,ret proto-oncogene,Type XIV RTKs: RET,['Ret']
226,"c-ros oncogene 1, receptor tyrosine kinase",Type XVII RTKs: ROS receptors,['sev']
227,isocitrate dehydrogenase (NADP(+)) 1,1.1.1.42 Isocitrate dehydrogenases,['Idh']
228,"tryptophan 2,3-dioxygenase",1.13.11.- Dioxygenases,['v']
229,lysine demethylase 1A,1.14.11.- Histone demethylases,['Su(var)3-3']
230,lysine demethylase 1B,1.14.11.- Histone demethylases,"['CG10561', 'CG8032']"
231,lysine demethylase 3A,1.14.11.- Histone demethylases,['JHDM2']
232,lysine demethylase 3B,1.14.11.- Histone demethylases,['JHDM2']
233,lysine demethylase 4A,1.14.11.- Histone demethylases,['lid']
234,lysine demethylase 4B,1.14.11.- Histone demethylases,['lid']
235,lysine demethylase 4C,1.14.11.- Histone demethylases,"['Kdm4A', 'Kdm4B']"
236,lysine demethylase 4D,1.14.11.- Histone demethylases,"['lid', 'lid']"
237,lysine demethylase 5A,1.14.11.- Histone demethylases,['lid']
238,lysine demethylase 5B,1.14.11.- Histone demethylases,['lid']
239,lysine demethylase 5C,1.14.11.- Histone demethylases,['lid']
240,lysine demethylase 6B,1.14.11.- Histone demethylases,['Utx']
241,lysine demethylase 8,1.14.11.- Histone demethylases,['JMJD5']
242,PHD finger protein 2,1.14.11.- Histone demethylases,['Kdm2']
243,"jumonji domain containing 6, arginine demethylase and lysine hydroxylase",1.14.11.- Histone demethylases,['PSR']
244,ribonucleotide reductase catalytic subunit M1,1.17.4.1 Ribonucleoside-diphosphate reductases,['RnrL']
245,ribonucleotide reductase regulatory subunit M2,1.17.4.1 Ribonucleoside-diphosphate reductases,['RnrS']
246,ribonucleotide reductase regulatory TP53 inducible subunit M2B,1.17.4.1 Ribonucleoside-diphosphate reductases,['RnrS']
247,lysyl oxidase like 2,1.4.3.13 Lysyl oxidases,['Loxl1']
248,aldehyde dehydrogenase 2 family member,1.-.-.- Oxidoreductases,['Aldh']
249,aldo-keto reductase family 1 member B,1.-.-.- Oxidoreductases,['CG6084']
250,catalase,1.-.-.- Oxidoreductases,"['Cat', 'CG9314']"
251,dihydrofolate reductase,1.-.-.- Oxidoreductases,['Dhfr']
252,dihydroorotate dehydrogenase (quinone),1.-.-.- Oxidoreductases,['Dhod']
253,4-hydroxyphenylpyruvate dioxygenase,1.-.-.- Oxidoreductases,['Hpd']
254,inosine monophosphate dehydrogenase 1,1.-.-.- Oxidoreductases,['ras']
255,myeloperoxidase,1.-.-.- Oxidoreductases,"['Pxd', 'Pxn', 'CG4009', 'cysu']"
256,sepiapterin reductase,1.-.-.- Oxidoreductases,"['Sptr', 'CG12116']"
257,vitamin K epoxide reductase complex subunit 1,1.-.-.- Oxidoreductases,['Vkor']
258,xanthine dehydrogenase,1.-.-.- Oxidoreductases,['ry']
259,"phosphoinositide kinase, FYVE-type zinc finger containing",1-phosphatidylinositol-3-phosphate 5-kinase family,['fab1']
260,phosphatidylinositol 4-kinase alpha,1-phosphatidylinositol 4-kinase family,['PI4KIIIalpha']
261,phosphatidylinositol 4-kinase beta,1-phosphatidylinositol 4-kinase family,['fwd']
262,DOT1 like histone lysine methyltransferase,2.1.1.43 Histone methyltransferases (HMTs),['gpp']
263,lysine methyltransferase 2C,2.1.1.43 Histone methyltransferases (HMTs),['Lpt']
264,lysine methyltransferase 2E,2.1.1.43 Histone methyltransferases (HMTs),['upSET']
265,SET domain bifurcated histone lysine methyltransferase 2,2.1.1.43 Histone methyltransferases (HMTs),"['pie', 'Phf7']"
266,SET and MYND domain containing 2,2.1.1.43 Histone methyltransferases (HMTs),"['Smyd3', 'dao', 'SmydA-9', 'SmydA-5', 'Smyd4-1', 'Smyd4-2', 'CG18213', 'SmydA-8']"
267,suppressor of variegation 3-9 homolog 1,2.1.1.43 Histone methyltransferases (HMTs),['Su(var)3-9']
268,thymidylate synthetase,2.1.1.- Methyltransferases,['Ts']
269,protein arginine methyltransferase 2 ,2.1.1.- Protein arginine N-methyltransferases,['Art8']
270,protein arginine methyltransferase 3,2.1.1.- Protein arginine N-methyltransferases,"['Art9', 'Art6', 'Art3', 'CG32152']"
271,coactivator associated arginine methyltransferase 1,2.1.1.- Protein arginine N-methyltransferases,['Art4']
272,protein arginine methyltransferase 5 ,2.1.1.- Protein arginine N-methyltransferases,['csul']
273,protein arginine methyltransferase 7 ,2.1.1.- Protein arginine N-methyltransferases,['Art7']
274,protein arginine methyltransferase 8,2.1.1.- Protein arginine N-methyltransferases,['Art1']
275,F-box protein 11,2.1.1.- Protein arginine N-methyltransferases,['FBXO11']
276,F-box protein 10,2.1.1.- Protein arginine N-methyltransferases,['FBXO11']
277,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase","2.1.2.- Hydroxymethyl-, formyl- and related transferases",['Gart']
278,clock circadian regulator,2.3.1.48 Histone acetyltransferases (HATs),"['Met', 'gce', 'tgo']"
279,elongator acetyltransferase complex subunit 3,2.3.1.48 Histone acetyltransferases (HATs),['Elp3']
280,histone acetyltransferase 1,2.3.1.48 Histone acetyltransferases (HATs),['Hat1']
281,jumonji domain containing 1C,2.3.1.48 Histone acetyltransferases (HATs),['JHDM2']
282,lysine acetyltransferase 5,2.3.1.48 Histone acetyltransferases (HATs),"['tth', 'd4']"
283,lysine acetyltransferase 6A,2.3.1.48 Histone acetyltransferases (HATs),"['tth', 'd4']"
284,lysine acetyltransferase 2A,2.3.1.48 Histone acetyltransferases (HATs),['Acf']
285,lysine acetyltransferase 8,2.3.1.48 Histone acetyltransferases (HATs),"['mof', 'CG1894']"
286,nuclear receptor coactivator 1,2.3.1.48 Histone acetyltransferases (HATs),['tai']
287,nuclear receptor coactivator 2,2.3.1.48 Histone acetyltransferases (HATs),['tai']
288,nuclear receptor coactivator 3,2.3.1.48 Histone acetyltransferases (HATs),['tai']
289,fatty acid synthase,2.3.1.-  Acyltransferases,"['FASN2', 'FASN1']"
290,diacylglycerol O-acyltransferase 1,2.3.1.-  Acyltransferases,['mdy']
291,monoacylglycerol O-acyltransferase 2,2.3.1.-  Acyltransferases,"['CG1941', 'Dgat2', 'CG1946']"
292,purine nucleoside phosphorylase,2.4.2.1 Purine-nucleoside phosphorylase,"['CG18128', 'CG16758']"
293,"farnesyltransferase, CAAX box, alpha",2.5.1.58 Protein farnesyltransferase,['Fnta']
294,"farnesyltransferase, CAAX box, beta",2.5.1.58 Protein farnesyltransferase,['CG17565']
295,Branched chain amino acid transaminase 2,2.6.1.42 Branched-chain-amino-acid transaminase,['CG1673']
296,pyruvate kinase M1/2,2.7.1.40 Pyruvate kinases,['PyK']
297,pyruvate kinase L/R,2.7.1.40 Pyruvate kinases,['PyK']
298,αβ-Hydrolase 6,2-Acylglycerol ester turnover,['kraken']
299,asparaginase,3.1.1.- Carboxylic Ester Hydrolases,"['CG6428', 'CG8526']"
300,carboxyl ester lipase,3.1.1.- Carboxylic Ester Hydrolases,"['Est-6', 'Est-P', 'Glt', 'Jhe', 'alpha-Est1', 'alpha-Est10', 'alpha-Est2', 'alpha-Est3', 'alpha-Est4', 'alpha-Est6', 'alpha-Est7', 'alpha-Est8', 'alpha-Est9', 'CG4757', 'CG9287', 'CG9289', 'CG3841', 'CG4382', 'Jhedup', 'gas', 'alpha-Est5']"
301,"lipase, gastric",3.1.1.- Carboxylic Ester Hydrolases,"['Lip3', 'Lip1', 'Lip2', 'CG2772', 'Lip4', 'CG18301', 'CG18302', 'CG7329', 'CG3635', 'CG8093', 'CG11406', 'mag', 'CG11598', 'CG11600', 'CG11608', 'CG6753', 'CG18530', 'CG18284', 'CG31089', 'CG31091', 'CG31871', 'CG31872', 'CG17097']"
302,protein phosphatase methylesterase 1,3.1.1.- Carboxylic Ester Hydrolases,['CG5068']
303,galactosamine (N-acetyl)-6-sulfatase,3.1.-.- Ester bond enzymes,"['CG18278', 'CG7408', 'CG7402', 'CG32191', 'CG30059']"
304,amylase alpha 2A,3.2.1.- Glycosidases,"['Amy-d', 'Amy-p', 'Mal-A2', 'Mal-A3', 'Amyrel', 'Mal-B1', 'Mal-B2', 'Mal-A4', 'Mal-A7', 'Mal-A8', 'Mal-A5', 'Mal-A6']"
305,"glucosidase alpha, acid",3.2.1.- Glycosidases,"['GCS2alpha', 'tobi']"
306,glucosylceramidase beta,3.2.1.- Glycosidases,"['Gba1a', 'Gba1b']"
307,maltase-glucoamylase,3.2.1.- Glycosidases,"['GCS2alpha', 'tobi']"
308,heparanase,3.2.1.- Glycosidases,['CG14309']
309,glutaminase,3.5.1.2 Glutaminases,['GLS']
